zip,city,pilot,stage,p1_items,p1_clean,p2_items,p4_deferred,candidate_decisions,discovery_passes,discovery_status,last_discovery_at,historical_evidence_rows,directory_rows,excluded_rows,source_candidates,external_discoveries,confirmed,needs_verification,identity_review,status_unresolved,gp_scope_unresolved,location_incomplete,probable_non_office,likely_specialist_only,source_unrepresented,external_pending,researched_unresolved,resolved_excluded,dir_with_coords,dir_missing_coords,dir_coords_recoverable,dir_coords_suspect,dir_site_checked_live,dir_prior_web_research,dir_ownership_review_only,dir_no_prior_research,dir_identity_flagged,open_items,review_items,sources_searched,last_activity,batch_rank
60585,Plainfield,False,not_started,1,0,6,7,0,[],not_searched,,5,9,4,1,0,0,0,2,0,2,0,1,1,1,0,0,0,4,5,2,0,1,3,5,0,2,7,5,,,113
60652,CHICAGO,False,not_started,3,2,4,10,0,[],not_searched,,9,12,2,3,0,0,0,1,1,0,0,1,1,3,0,0,0,5,7,1,0,1,6,4,1,1,7,5,,,114
60606,CHICAGO,False,not_started,2,0,4,8,0,[],not_searched,,6,11,1,2,0,0,0,2,1,0,0,1,0,2,0,0,0,9,2,0,0,1,5,2,3,2,6,5,,,115
60706,NORRIDGE,False,not_started,3,1,3,17,0,[],not_searched,,13,19,1,3,0,0,0,2,0,0,0,0,1,3,0,0,0,10,9,5,0,0,12,6,1,3,6,5,,,116
60018,DES PLAINES,False,not_started,3,2,2,11,0,[],not_searched,,11,13,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,7,6,1,0,2,8,2,1,2,5,5,,,117
60459,BURBANK,False,not_started,0,0,5,10,0,[],not_searched,,10,14,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,11,3,1,0,3,6,5,0,2,5,5,,,118
60194,SCHAUMBURG,False,not_started,1,0,10,18,0,[],not_searched,,17,23,5,1,0,0,0,3,1,0,2,1,4,0,0,0,0,10,13,6,0,4,12,6,1,5,11,4,,,119
60601,CHICAGO,False,not_started,4,0,5,22,0,[],not_searched,,13,24,3,4,0,0,0,2,0,0,1,2,2,2,0,0,0,13,11,1,0,2,10,6,6,5,9,4,,,120
60542,NORTH AURORA,False,not_started,3,1,5,10,0,[],not_searched,,6,12,3,3,0,0,0,1,1,0,1,1,2,2,0,0,0,8,4,0,0,1,2,8,1,4,8,4,,,121
60544,PLAINFIELD,False,not_started,2,0,6,19,0,[],not_searched,,14,20,5,2,0,0,0,1,0,1,0,0,4,2,0,0,0,13,7,3,0,2,11,6,1,8,8,4,,,122
60090,WHEELING,False,not_started,1,0,6,21,0,[],not_searched,,15,25,2,1,0,0,0,4,0,0,1,2,0,0,0,0,0,16,9,0,0,4,9,9,3,8,7,4,,,123
60560,Yorkville,False,not_started,2,1,5,6,0,[],not_searched,,8,9,2,2,0,0,0,2,1,0,1,1,1,1,0,0,0,7,2,2,0,1,6,2,0,1,7,4,,,124
60617,CHICAGO,False,not_started,3,0,4,18,0,[],not_searched,,12,20,2,3,0,0,0,2,0,0,1,1,1,2,0,0,0,8,12,3,0,3,8,8,1,3,7,4,,,125
60439,Lemont,False,not_started,1,0,5,16,0,[],not_searched,,15,19,2,1,0,0,0,2,0,1,1,0,1,1,0,0,0,10,9,2,0,2,12,4,1,6,6,4,,,126
60465,Worth/Palos Heights,False,not_started,2,0,4,13,0,[],not_searched,,7,15,2,2,0,0,0,0,2,0,0,0,2,2,0,0,0,9,6,4,0,0,6,8,1,0,6,4,,,127
60565,Naperville,False,not_started,0,0,6,8,0,[],not_searched,,6,12,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,7,5,1,0,1,4,4,3,1,6,4,,,128
60131,FRANKLIN PARK,False,not_started,3,2,2,8,0,[],not_searched,,7,9,1,3,0,0,0,1,0,0,0,1,0,3,0,0,0,7,2,1,0,1,6,2,0,3,5,4,,,129
60139,GLENDALE HEIGHTS,False,not_started,1,1,4,11,0,[],not_searched,,12,13,2,1,0,0,0,0,2,1,0,0,1,1,0,0,0,7,6,2,0,2,8,2,1,2,5,4,,,130
60195,SCHAUMBURG,False,not_started,1,0,4,7,0,[],not_searched,,8,10,1,1,0,0,0,3,0,0,0,1,0,1,0,0,0,6,4,0,0,3,5,2,0,3,5,4,,,131
60505,AURORA,False,not_started,0,0,5,8,0,[],not_searched,,4,12,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,9,3,2,0,2,2,6,2,3,5,4,,,132
60160,MELROSE PARK,False,not_started,1,0,3,17,0,[],not_searched,,14,20,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,11,9,1,0,1,12,7,0,5,4,4,,,133
60624,CHICAGO,False,not_started,2,0,2,3,0,[],not_searched,,4,5,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,3,0,0,0,3,2,0,3,4,4,,,134
60093,WINNETKA,False,not_started,3,0,9,19,0,[],not_searched,,19,20,8,3,0,0,0,0,1,0,0,4,5,2,0,0,0,12,8,4,0,1,17,2,0,2,12,3,,,135
60452,OAK FOREST,False,not_started,1,0,6,15,0,[],not_searched,,11,17,4,1,0,0,0,1,0,1,1,2,1,1,0,0,0,9,8,0,0,0,10,5,2,7,7,3,,,136
60642,CHICAGO,False,not_started,1,1,6,5,0,[],not_searched,,4,7,4,1,0,0,0,1,1,0,0,2,2,1,0,0,0,6,1,0,0,1,3,1,2,2,7,3,,,137
60130,FOREST PARK,False,not_started,2,1,4,5,0,[],not_searched,,5,6,3,2,0,0,0,0,1,0,0,0,3,2,0,0,0,4,2,0,0,1,4,1,0,0,6,3,,,138
